frame,t_ms,scale,rot,tx,ty
0,0,0.8249460818546085,0.0,0.0,0.0
1,40,0.8249460818546085,0.35070859998204684,8.0,3.0
2,80,0.8249460818546085,0.7008019379081422,16.0,6.0
3,120,0.8249460818546085,1.049665831101048,24.0,9.0
4,160,0.8249460818546085,1.3966882537473566,32.0,12.0
5,200,0.8249460818546085,1.7412604105987342,40.0,15.0
6,240,0.8249460818546085,2.082777805005659,48.0,18.0
7,280,0.8249460818546085,2.42064129940995,55.0,20.0
8,320,0.8249460818546085,2.7542581664356347,63.0,23.0
9,360,0.8249460818546085,3.0830431287341775,70.0,25.0
10,400,0.8249460818546085,3.4064193857598264,78.0,27.0
11,440,0.8249460818546085,3.723819625673767,85.0,29.0
12,480,0.8249460818546085,4.034687020601866,92.0,31.0
13,520,0.8249460818546085,4.338476203499965,99.0,32.0
14,560,0.8249460818546085,4.634654224913007,106.0,33.0
15,600,0.8249460818546085,4.922701487949463,113.0,34.0
16,640,0.8249460818546085,5.202112659830849,119.0,35.0
17,680,0.8249460818546085,5.472397558417133,125.0,36.0
18,720,0.8249460818546085,5.733082012152767,131.0,36.0
19,760,0.8249460818546085,5.983708691924727,137.0,36.0
20,800,0.8249460818546085,6.223837913373176,142.0,36.0
21,840,0.8249460818546085,6.453048408247234,148.0,36.0
22,880,0.8249460818546085,6.670938063452643,153.0,35.0
23,920,0.8249460818546085,6.87712462649477,157.0,34.0
24,960,0.8249460818546085,7.071246376079377,162.0,33.0
25,1000,0.8249460818546085,7.252962756694674,166.0,31.0
26,1040,0.8249460818546085,7.421954976061423,170.0,30.0
27,1080,0.8249460818546085,7.577926564402914,174.0,28.0
28,1120,0.8249460818546085,7.720603894553692,177.0,26.0
29,1160,0.8249460818546085,7.849736661994591,180.0,24.0
30,1200,0.8249460818546085,7.96509832397191,182.0,21.0
31,1240,0.8249460818546085,8.066486496930388,185.0,19.0
32,1280,0.8249460818546085,8.153723311562716,187.0,16.0
33,1320,0.8249460818546085,8.226655724852767,188.0,13.0
34,1360,0.8249460818546085,8.285155788565028,190.0,11.0
35,1400,0.8249460818546085,8.32912087370929,191.0,8.0
36,1440,0.8249460818546085,8.358473850586774,191.0,5.0
37,1480,0.8249460818546085,8.373163224101832,192.0,2.0
38,1520,0.8249460818546085,8.373163224101832,192.0,-1.0
39,1560,0.8249460818546085,8.358473850586774,191.0,-4.0
40,1600,0.8249460818546085,8.32912087370929,191.0,-7.0
41,1640,0.8249460818546085,8.285155788565028,190.0,-10.0
42,1680,0.8249460818546085,8.226655724852767,188.0,-13.0
43,1720,0.8249460818546085,8.153723311562718,187.0,-16.0
44,1760,0.8249460818546085,8.066486496930388,185.0,-18.0
45,1800,0.8249460818546085,7.965098323971912,182.0,-21.0
46,1840,0.8249460818546085,7.8497366619945925,180.0,-23.0
47,1880,0.8249460818546085,7.720603894553692,177.0,-26.0
48,1920,0.8249460818546085,7.5779265644029135,174.0,-28.0
49,1960,0.8249460818546085,7.421954976061425,170.0,-29.0
50,2000,0.8249460818546085,7.252962756694672,166.0,-31.0
