frame,t_ms,scale,rot,tx,ty
102,4080,0.8249460818546085,-7.577926564402912,-174.0,28.0
103,4120,0.8249460818546085,-7.720603894553691,-177.0,26.0
104,4160,0.8249460818546085,-7.849736661994591,-180.0,24.0
105,4200,0.8249460818546085,-7.96509832397191,-183.0,21.0
106,4240,0.8249460818546085,-8.066486496930386,-185.0,19.0
107,4280,0.8249460818546085,-8.153723311562718,-187.0,16.0
108,4320,0.8249460818546085,-8.226655724852767,-189.0,13.0
109,4360,0.8249460818546085,-8.285155788565026,-190.0,11.0
110,4400,0.8249460818546085,-8.32912087370929,-191.0,8.0
111,4440,0.8249460818546085,-8.358473850586774,-192.0,5.0
112,4480,0.8249460818546085,-8.373163224101832,-192.0,2.0
113,4520,0.8249460818546085,-8.373163224101832,-192.0,-1.0
114,4560,0.8249460818546085,-8.358473850586774,-192.0,-4.0
115,4600,0.8249460818546085,-8.32912087370929,-191.0,-7.0
116,4640,0.8249460818546085,-8.285155788565028,-190.0,-10.0
117,4680,0.8249460818546085,-8.226655724852767,-189.0,-13.0
118,4720,0.8249460818546085,-8.153723311562718,-187.0,-16.0
119,4760,0.8249460818546085,-8.066486496930388,-185.0,-18.0
120,4800,0.8249460818546085,-7.965098323971912,-183.0,-21.0
121,4840,0.8249460818546085,-7.8497366619945925,-180.0,-23.0
122,4880,0.8249460818546085,-7.720603894553692,-177.0,-26.0
123,4920,0.8249460818546085,-7.577926564402914,-174.0,-28.0
124,4960,0.8249460818546085,-7.421954976061423,-170.0,-29.0
125,5000,0.8249460818546085,-7.252962756694677,-166.0,-31.0
126,5040,0.8249460818546085,-7.071246376079376,-162.0,-32.0
127,5080,0.8249460818546085,-6.87712462649477,-158.0,-34.0
128,5120,0.8249460818546085,-6.670938063452647,-153.0,-34.0
129,5160,0.8249460818546085,-6.453048408247238,-148.0,-35.0
130,5200,0.8249460818546085,-6.223837913373179,-143.0,-36.0
131,5240,0.8249460818546085,-5.9837086919247255,-137.0,-36.0
132,5280,0.8249460818546085,-5.733082012152771,-132.0,-36.0
133,5320,0.8249460818546085,-5.472397558417136,-126.0,-35.0
134,5360,0.8249460818546085,-5.202112659830852,-119.0,-35.0
135,5400,0.8249460818546085,-4.922701487949464,-113.0,-34.0
136,5440,0.8249460818546085,-4.634654224913008,-106.0,-33.0
137,5480,0.8249460818546085,-4.338476203499966,-100.0,-32.0
138,5520,0.8249460818546085,-4.034687020601866,-93.0,-30.0
139,5560,0.8249460818546085,-3.7238196256737672,-86.0,-28.0
140,5600,0.8249460818546085,-3.4064193857598326,-78.0,-27.0
141,5640,0.8249460818546085,-3.083043128734184,-71.0,-24.0
142,5680,0.8249460818546085,-2.7542581664356334,-63.0,-22.0
143,5720,0.8249460818546085,-2.4206412994099478,-56.0,-20.0
144,5760,0.8249460818546085,-2.0827778050056636,-48.0,-17.0
145,5800,0.8249460818546085,-1.741260410598739,-40.0,-14.0
146,5840,0.8249460818546085,-1.3966882537473604,-32.0,-12.0
147,5880,0.8249460818546085,-1.0496658311010443,-24.0,-9.0
148,5920,0.8249460818546085,-0.7008019379081453,-16.0,-6.0
149,5960,0.8249460818546085,-0.3507085999820494,-8.0,-3.0
